video_index,comment_count,view_count,like_count,title,description,channel,tags,categories,duration
98,14000,14547673,216676,Extended Swedish Fish Commercial,"I dedicate this video to my favorite candy ever, Swedish Fish. Oh, how I love thee.

Music: 
""Daily Beetle"" by Kevin Macleod & Brett VanDonsel
""Something's Wrong"" by Myuuji // https://www.youtube.com/user/myuuji

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=SRA4oeF1W7E
Outro bottom video: https://www.youtube.com/watch?v=rpmRu4aqviY

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel official swedish fish commercial candy Swedish Fish (Brand) funny hilarious commercials,Gaming,184
99,0,7028306,242681,CORYXKENSHIN DOESN'T PLAY IT SAFE.,"... OK to be fair, even I don't why.
















If you haven't already, PLEASE bless your ears: https://www.youtube.com/watch?v=VKzrXbJKvS8",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel coryxkenshin doesn't play it safe dancing in public funny hilarious street weird random video,Gaming,41
100,769,386956,12538,NICEST PLACE ON THE INTERNET | Top 13 Random Websites,"Making this video made my mood a lot better. Hopefully it does for you too! ;)

MORE RANDOM VIDEOS: https://www.youtube.com/watch?v=H9WjUxt1Njg&list=PLxoHK1S7LhWSU230SAT7fDUsLiXCwaBMo&index=3

Websites:
NoOOOOO: http://nooooooooooooooo.com/
ilooklikeobama: http://ilooklikebarackobama.com/
secrettechnology: http://secrettechnology.com/
newsoffuture: http://newsoffuture.com/
computerpowertest: http://computerpowertest.com/
heyyyheyyyheyyayyayy: http://heyyeyaaeyaaaeyaeyaa.com/
lots of blue balls: http://haneke.net/
zombocom: http://www.zombo.com/
abracadabra: http://973-eht-namuh-973.com/
eelslap: http://eelslap.com/
procatinator: http://procatinator.com/
falling: http://www.fallingfalling.com/
nicestplaceever: http://thenicestplaceontheinter.net/

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=9jToYCIEEII
Outro bottom video: https://www.youtube.com/watch?v=Mc_IaN0INv8

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel nicest place on the internet top 13 random websites funny hilarious reactions ilooklikeobama secrettechnology newsoffuture thenicestplaceontheinternet reaction moments,Gaming,522
101,366,98454,3940,WHAT HAPPENS AT THE P.O. BOX,"I think we're about due for a vlog!

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=U0NnpN9yMmc
Outro bottom video: https://www.youtube.com/watch?v=Olq23QUjFP8

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel what happens at the po box vlog farmington hills michigan random adventure fan subscriber mail po box,Gaming,304
102,373,147523,6337,DO YOU NEED INSPIRATION? JUST DO IT.,"I was just trying to get some cereal first...

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=VGvZkd7La1c
Outro bottom video: https://www.youtube.com/watch?v=fsyzJ7s3fyA

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel just do it inspirational shia labeouf green screen parody skit make your dreams come true hilarious speech Just Do It,Gaming,130
103,430,89446,4294,Apology To My Viewers,"Really want to apologize for my absences as of late and mostly my inconsistencies. You guys mean more than the world to me and I feel like I have really been letting not only you guys down but myself down as well. I am working on getting myself together but in the meantime I WILL NOT be skipping days like that anymore, and the quest for building this PC begins.

As of July 10th 2015, I now have the PC. You all are legends.",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel an apology to my viewers subscribers fans afk 4 days no videos explanation megabus chicago cedar point trip ohio drive family 2015 apologize absence inconsistent pc build help fundraise,Gaming,715
104,404,156278,5975,The Samurai Song (In Progress lol),"Gertrude and I are going to wreck shop! ... as soon as I learn how to play lol

Also, been having weird dreams lately, stay safe everyone!",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel The Samurai Song gerturde vlog 6/11/15 update dead dream weird gasp for air,Gaming,117
105,199,35015,1907,The Rantings Of A Madman,"Hey guys, sorry this came out extremely disorganized and seemingly random, but this is just a glimpse of my inner mindset at the moment. 

Also, as it was mentioned in the video, the store is finally all put together. Check it out if you like: http://coryxkenshin.spreadshirt.com/customize/noCache/1",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel the rantings of madman vlog living on my own first born stress school loan nelnet scumbags,Gaming,436
106,2400,917374,33109,BEST REACTIONS I'VE EVER GOTTEN | CoryxKenshin On Omegle #2,"I said I was going for one hour, and one turned into four because you guys are literally the best thing to happen to me in a long time. You are more than the world to me. (Also, sorry for everyone I didn't get to meet or put in the video, it still meant so much to me.)

Part 1: https://www.youtube.com/watch?v=nN08b0z5H3g

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=nCHwhKG4HUA
Outro bottom video: https://www.youtube.com/watch?v=ORS4wLogmv8

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel best reactions ive ever gotten coryxkenshin on omegle #2 part two part 2 funny hilarious samurai greatest community youtube girl crying laughing subs awesome,Gaming,818
107,279,209065,9073,MY FAMILY IS HERE!,"Family crashed my editing party! But hey, if there is anyone I'm okay with disturbing my editing, it's them... most of the time..",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel my family is here editing video tomorrow EXCUSES sucka edit vid,Gaming,52
108,134,40218,1492,Project: Waterfall,"https://my.charitywater.org/project-waterfall
http://www.twitch.tv/coryxkenshin

As the Samurai, I feel confident in our ability to help as many people as we can across the world. I can't wait to see what we can do!",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel project waterfall livestream for charity information saturday,Gaming,184
109,267,57651,4430,Being A YouTuber Sometimes ...,"If you want to do YouTube, just make sure you are prepared to just take a breath, and laugh stuff like this off.",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel being youtuber,Gaming,37
110,419,61923,3716,ALL MOVED IN | One Year To 150K,"YASS GAGA YASSSS. Ready to get started, you guys think we can reach 150,000 in a year? Full-speed ahead, YOLO.

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=8VaaYnz7FZQ
Outro bottom video: https://www.youtube.com/watch?v=Qmkv8DOvSaU

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel all moved in youtube full time job apartment soundproofing vlog accomplishment one year to 150k samurai subscriber,Gaming,160
111,1300,521845,12811,CORYXKENSHIN CONTEST WINNERS!,"I had such a BLAST going through all of the entries from this amazingly talented community and want to personally thank everyone who entered any of the contests. It meant to much to me get receive everything and this channel is getting stronger and stronger thanks to you all...

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=AiUMaWjyr-s
Outro bottom video: https://www.youtube.com/watch?v=oc_cV4liJfo

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel coryxkenshin contest winners winner t shirt design music drawing impersonation impression funny hilarious samurai community talent ashy grimes faaf nadia edwards jin maupin matthew yankey danil g,Gaming,831
112,1700,665303,31265,A New Chapter Begins.. | NEW APARTMENT TOUR!,"Dude. We are actually doing it. I just want to thank you guys for being so supportive and just joining me on this crazy adventure. YouTube full-time, let's go.

To be clear, this apartment is super cheap. An apartment just this one in Ann Arbor (where my university is) would cost around $2000 (you guys should've seen how crap the first place I looked at was, IN ANN ARBOR AT HIGHER RENT) but this one doesn't even cost half of that.

I am starting to save up to build my own PC for the occasion (getting hard to do all this with a laptop), so tips on good parts and help are much appreciated!

Once again, you've all already helped so much, this definitely isn't the beginning. We had to fight to get even here, but we're here now, and I'm loving the view. Full speed ahead.",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel new chapter begins full time youtube decision moving out of dorm university over beginning journey uncertain life dream inspiration apartment tour smal funny hilarious montage move,Gaming,968
113,218,68523,3054,The End Of A Chapter...,It is time you guys...,CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel,Gaming,113
114,513,389294,9028,NO.. PLEASE... FIVE NIGHTS AT FREDDY'S 4 THO!?,"Here we have it, FNAF4 or Five Nights At Freddy's 4 has been confirmed and Scott is referring to it as 'The Final Chapter'. Here we go again...

FNAF1 Playthrough: https://www.youtube.com/watch?v=SMBtaXCWfAQ&index=1&list=PLxoHK1S7LhWRML18B4Cj7v8ITO-3hIooO

FNAF2 Playthrough: https://www.youtube.com/watch?v=emtWAX7MB3M&index=1&list=PLxoHK1S7LhWQf_otHtzIX7SRTldTNfIdu

FNAF3 Playthrough: https://www.youtube.com/watch?v=EcrwglKzPmA&list=PLxoHK1S7LhWSlxW-gUc4UkaYAJh9mGt85&index=1

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=Q-4Kij0MuSQ
Outro bottom video: https://www.youtube.com/watch?v=in4R8rcgaow

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel Five Nights At Freddy's five nights at freddys four five nights at freddys 4 though reaction mini sketch thoughts theory fnaf4 new october 31 halloween release news hype confirmed scottgames,Gaming,124
115,127,29719,1213,DO YOU WANT YOUR ART/MUSIC/FACE FEATURED!? (3 Contests),"Time to see how much talent the Samurai REALLY have!

Download my voice samples for the music contest!:
http://www.mediafire.com/download/f78ng45zx5ajn3y/CoryxKenshin_Sounds.rar

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=t44TtAswYug
Outro bottom video: https://www.youtube.com/watch?v=2Z2XbGdVKDs

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel do you want your art music face featured samurai contest announcement giveaway funny hilarious,Gaming,279
116,950,138273,11034,Chasing My Dream. (The 'Big' Announcement),"First off, thank you all so much for this crazy opportunity and I just want to say regardless of how you may feel about all this, I considerate it a blessing and am so very grateful for it.

So this is a quick recap for those who couldn't watch the entire video for whatever reason (I know it's a long video, hahah):

1. I am leaving my university for 1 year to do YouTube full-time
2. I will now be uploading every single day at 1:30pm and 3:30pm EST (if I am unable to upload, I will let you all know).
3. If at the end of the year (May 1st, 2016) I have not reached 150,000 subscribers, or feel YouTube isn't a viable living source, I will need to leave YouTube to finish my degree.
4. It was a very tough decision and was thoroughly thought out and I have taken care of all the administrative business to begin this journey.
5. Moving out of my dorm May 1st, 2015 to begin.
6. I DO NOT make a lot of money from YouTube so it will be hard at times I already know.
7. I appreciate the support of all those close to me personally and of course you all. It really means more than the world to me.

So yeah, that's about it. Let's do this, together.",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel chasing my dream the big announcement leaving university for one year youtube full time job decision tough hard scary uncertain apartment getting an explanation parents 150000 subscriber goal degree university of michigan u of m passion achieve anything dont be afraid,Gaming,1483
117,379,67834,3057,My Life Is Getting Ready To Change...,I'm taking big steps... big.,CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel my life is getting ready to change announcement youtube vlog 60fps 4/16/2015 april 16 2015 scary uncertain goal path destiny decision,Gaming,75
118,831,186834,15021,LET'S GO OUTSIDE!,"Because sometimes, you just don't feel like recording a game.",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel lets go outside vlog 4/10/15 april 15th 2015 ann arbor michigan university of,Gaming,353
119,1600,794676,17638,OMGOODNESS FIVE NIGHTS AT FREDDY'S MOVIE!!!11!? SUCH WOW,"...I regret nothing... LOL.

No really, super congrats to Scott Cawthon. This guy is insane to have his 'indie' game adapted into a movie. Hats off to you, bro!

Article: http://www.hollywoodreporter.com/heat-vision/video-game-five-nights-at-787061",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel Five Nights At Freddy's fnaf movie confirmed adaptation scary horror flick game turned news crazy scott cawthon mastermind five nights at freddys movie,Gaming,24
120,241,118869,4363,GET THE FREAKIN EGGS! (Happy Easter 2015),"So uhm.. I made a thing..??

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=E__qpuSVuzM
Outro bottom video: https://www.youtube.com/watch?v=RbhpdKV8bDo

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel get the freaking eggs happy easter 2015 video funny hilarious mini skit spirit of,Gaming,136
121,670,51365,3962,There Are 70000 Of Us...,"You guys made me, extremely happy today.",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel there are 70000 of us subscribers samurai strong community amazing thank you milestone vlog crazy emotional verbose but meaningful message,Gaming,527
122,522,194404,6232,THIS GIRL THOUGHT I WAS KIDDING BECAUSE IT'S APRIL FOOLS,....,CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel this girl though was kidding because its april fools funny hilarious prank joke quit youtube random female pesdestrian vlog twerk makeup guru hair tutorial iggy azalea,Gaming,83
123,6900,833475,80913,Stay Strong. (Suicide),"Viewer discretion is advised.

Just wanted to talk about a serious topic. Uncharacteristic for this channel but I feel led to speak on suicide for a bit. Also, thanks CritHitPandaHero for your comment that sort of sparked this video.",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel stay strong suicide talk prevent message serious vlog life is strange episode two warning take own,Gaming,236
124,151,15570,1066,Thank You All For Pax East 2015...,"That was definitely the best highlight of 2015 so far, with accomplishing my goal of going to my first gaming convention, meeting some Samurai, and traveling, that was FREAKING FANTASTIC and it was thanks to you all...

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=XA1zqzLL-co
Outro bottom video: https://www.youtube.com/watch?v=tn-tuouuomg

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel thank you all for pax east 2015 pax east 2015 vlog experience boston ma convention awesome support funny hilarious reaction meeting youtubers halo season one championship hcs fun,Gaming,343
125,332,58921,2931,MARRIAGE PROPOSAL!? | Pax East 2015,"Pax East, YOU THE REAL MVP FAM.

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=XA1zqzLL-co
Outro bottom video: https://www.youtube.com/watch?v=tn-tuouuomg

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel Marriage Proposal marraige proposal at pax east 2015 vlog hilarious funny reaction commentary fan meet up subscriber gaming convention boston ma massachusetts wade bob yamimash jacksepticeye dlive entoan Penny Arcade Expo (Conference Series) gamers cosplay awesome,Gaming,306
126,968,296758,11009,MEETING YAMIMASH! (And Jacksepticeye..& more) | Pax East 2015,"Believe you can accomplish your dreams, and they will be accomplished. Thank you all for believing in me, it means so much.

PAX East 2015 - Day 2: https://www.youtube.com/watch?v=inYL3uZQKGo

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=CiqHyJRd0XA
Outro bottom video: https://www.youtube.com/watch?v=wk-2XZNrEIY

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel meeting yamimash and jacksepticeye fan meet pax east 2015 pax east boston ma gaming convention subscriber fanboy hilarious vlog met youtubers funny reaction exciting moments,Gaming,378
127,182,17469,1138,PAX EAST 2015 TOMORROW!,"This is gonna be EPIC! ... hopefully..

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=CiqHyJRd0XA
Outro bottom video: https://www.youtube.com/watch?v=wk-2XZNrEIY

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel Penny Arcade Expo (Conference Series) pax east pax east 2015 tomorrow gaming convention vlog funny hilarious expo march 6 nervous meeting people boston ma pax east 2015 footage fnaf3 nightmare mode hard twitter,Gaming,212
128,265,35874,2497,How To Get A Valentine,"So I was in a trolling mood...

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=ubHOqMxXUA0
Outro bottom video: https://www.youtube.com/watch?v=7nmearqW1M8

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/
http://coryxkenshin.spreadshirt.co.uk/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel how to get valentine funny hilarious troll suit how-to,Gaming,75
129,181,50236,2697,Look At My Hair,See you bros&sis' tomorrow.,CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel look at my hair college university school vlog funny hilarious hairstyle update tired life cant upload,Gaming,64
130,301,55070,1995,I Owe Pax East 2015 To You Guys...,"One of my HUGE YouTube goals is about to be accomplished thanks to you all. A year ago, I said ""One day, I am going to Pax East"" and you Samurai are making that dream a reality this year. We raised $741.19 in 24hrs so the support from you all is unparalleled. Pax East: LET'S GET ITTTTTTTT

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=ha5cfMbbsWM
Outro bottom video: https://www.youtube.com/watch?v=IzlibXibZeA

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel Penny Arcade Expo (Conference Series) owe pax east 2015 to you guys boston convention fundraise twitch stream success going vlog hilarious funny goal reached amazing support subscribers,Gaming,290
131,164,21639,1211,I Need Your Help.,"Sometimes in life, we have to do things that make us uncomfortable: this is one of those things for me. I really don't like asking you guys for money, because that is essentially what it is, but every cent would be for the trip that you guys have ALSO made possible for me. So once again, thanks for watching and thanks for listening.

GOAL REACHED. Thanks SO much to everyone who helped me out. In about 24 hours you guys met the goal and I can never repay you. This trip to pax, was paid for and made possible by you all. 

Twitch: http://www.twitch.tv/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=Y6edVXVFFiU
Outro bottom video: https://www.youtube.com/watch?v=sPUa2lo0-Y0

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel need your help pax east livestream #PaxEast 2015 fund raising raiser trip to boston Boston (City/Town/Village) schedule streaming plan ticket cost,Gaming,327
132,1800,524366,43062,MEETING MY FIRST SAMURAI ... wow..,"Words can only do so much but I just have to thank you all so much, not only to Steven, but to every single Samurai out there. I have the utmost respect for you all, and thank you.

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel meeting my first samurai fan meet and greet at school amazing support vlog story subscriber inspirational thought so cool yeah,Gaming,461
133,283,36894,1688,I AM GOING TO PAX EAST 2015!,"This... is what is called making dreams reality!

Join The Samurai ► http://bit.ly/1vKSGtU
That Twitter Tho? ► https://twitter.com/coryxkenshin
Facebook ► https://www.facebook.com/CoryxKenshin
Instagram ► http://instagram.com/coryxkenshin

Outro top video: https://www.youtube.com/watch?v=f_seanR0j34
Outro bottom video: https://www.youtube.com/watch?v=XluKILrK9Sc

Get some CORYXKENSHIN GEAR! ►
http://coryxkenshin.spreadshirt.com/

-- SEND A BROTHA STUFFS --
PO BOX 3089
Farmington Hills, MI 48333

Jesus said to love one another and that we should be servants to each other, so I would ask that you all do that in the comment section. That means more to me than anything. Thank you.

~CK",CoryxKenshin,CoryxKenshin Cory Kenshin CK black gamer sketch comedy channel am going to pax east 2015 attend event new years resolution boston MA Massachusetts (US State) Penny Arcade Expo (Conference Series) media pass meeting youtubers,Gaming,166
